Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,676.000000,676.650024,660.150024,666.950012,666.950012,7928365
2021-01-12,661.299988,685.000000,659.250000,675.700012,675.700012,13301893
2021-01-13,676.000000,691.200012,669.049988,687.799988,687.799988,15645903
2021-01-14,678.500000,687.799988,674.650024,676.000000,676.000000,9337503
2021-01-15,677.599976,682.950012,669.599976,674.849976,674.849976,12339771
2021-01-18,674.450012,675.000000,651.150024,657.000000,657.000000,13460603
2021-01-19,663.549988,671.950012,659.750000,668.750000,668.750000,9010539
2021-01-20,664.000000,680.950012,664.000000,675.750000,675.750000,9980614
2021-01-21,680.750000,695.000000,669.750000,675.849976,675.849976,15849438
2021-01-22,670.000000,673.900024,638.799988,644.500000,644.500000,21392223
2021-01-25,654.000000,668.000000,639.349976,658.400024,658.400024,21325345
2021-01-27,659.950012,663.799988,627.400024,632.099976,632.099976,24462588
2021-01-28,622.000000,674.700012,616.000000,670.700012,670.700012,64303975
2021-01-29,671.000000,675.849976,653.000000,662.900024,662.900024,31273252
2021-02-01,665.000000,717.000000,654.349976,709.349976,709.349976,30648270
2021-02-02,719.250000,744.950012,704.200012,714.200012,714.200012,28703320
2021-02-03,720.000000,736.799988,715.549988,733.799988,733.799988,23541361
2021-02-04,730.000000,745.500000,720.599976,743.900024,743.900024,20490289
2021-02-05,749.000000,766.299988,717.000000,719.599976,719.599976,31121503
2021-02-08,726.000000,747.799988,726.000000,736.150024,736.150024,15662890
2021-02-09,735.750000,750.000000,726.200012,742.500000,742.500000,22307807
2021-02-10,741.549988,746.400024,726.099976,734.799988,734.799988,15140744
2021-02-11,731.000000,744.150024,731.000000,740.099976,740.099976,11897710
2021-02-12,735.500000,754.700012,734.549988,750.400024,750.400024,15668442
2021-02-15,759.900024,799.000000,753.900024,794.000000,794.000000,20648115
2021-02-16,799.000000,799.000000,767.000000,775.049988,775.049988,23968943
2021-02-17,774.000000,785.000000,764.299988,777.750000,777.750000,16956357
2021-02-18,775.000000,782.000000,764.000000,777.000000,777.000000,19685663
2021-02-19,772.900024,777.200012,741.349976,749.650024,749.650024,15634787
2021-02-22,749.650024,749.849976,715.000000,719.450012,719.450012,18123202
2021-02-23,732.349976,734.950012,712.599976,715.950012,715.950012,16804763
2021-02-24,722.000000,754.900024,717.049988,749.400024,749.400024,11207286
2021-02-25,765.000000,783.500000,762.150024,770.650024,770.650024,26635119
2021-02-26,746.000000,758.700012,718.650024,724.799988,724.799988,31306177
2021-03-01,738.000000,743.500000,722.250000,728.549988,728.549988,14301187
2021-03-02,730.450012,740.500000,722.000000,731.250000,731.250000,14503453
2021-03-03,740.500000,760.799988,735.099976,753.950012,753.950012,13603791
2021-03-04,731.099976,751.450012,731.099976,736.799988,736.799988,16896947
2021-03-05,732.000000,744.099976,720.500000,730.750000,730.750000,16358252
2021-03-08,735.000000,752.500000,732.000000,743.299988,743.299988,13898556
2021-03-09,758.700012,758.700012,740.000000,745.450012,745.450012,18951683
2021-03-10,750.500000,765.700012,749.150024,760.750000,760.750000,13377990
2021-03-12,772.599976,776.599976,745.000000,750.599976,750.599976,16343307
2021-03-15,754.000000,754.000000,716.650024,744.400024,744.400024,22466579
2021-03-16,751.000000,752.000000,735.950012,737.750000,737.750000,11358574
2021-03-17,739.000000,742.000000,724.700012,727.900024,727.900024,12380976
2021-03-18,736.000000,743.099976,707.250000,718.750000,718.750000,12261544
