Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,942.900024,950.950012,926.200012,929.099976,929.099976,8419415
2021-01-12,920.000000,941.500000,906.549988,927.650024,927.650024,8805330
2021-01-13,932.799988,953.500000,926.150024,942.750000,942.750000,9473962
2021-01-14,953.000000,980.700012,951.250000,969.700012,969.700012,14887258
2021-01-15,974.000000,983.000000,953.450012,965.900024,965.900024,9195430
2021-01-18,959.000000,960.000000,924.000000,932.799988,932.799988,10668611
2021-01-19,942.049988,952.000000,936.250000,939.900024,939.900024,6309233
2021-01-20,936.900024,953.849976,928.250000,947.700012,947.700012,7004445
2021-01-21,959.400024,967.000000,918.250000,925.849976,925.849976,8216362
2021-01-22,930.000000,934.000000,890.000000,893.299988,893.299988,11366492
2021-01-25,906.000000,912.349976,839.200012,849.150024,849.150024,11829328
2021-01-27,848.000000,860.799988,806.000000,820.150024,820.150024,15810173
2021-01-28,801.299988,828.849976,789.000000,802.599976,802.599976,13789865
2021-01-29,817.099976,860.849976,815.650024,846.099976,846.099976,19305853
2021-02-01,859.000000,981.400024,856.000000,970.599976,970.599976,38067807
2021-02-02,982.400024,999.000000,949.299988,975.650024,975.650024,20556081
2021-02-03,980.000000,1080.800049,972.200012,1048.550049,1048.550049,34995822
2021-02-04,1034.900024,1042.000000,1016.000000,1032.150024,1032.150024,13666242
2021-02-05,1045.000000,1085.000000,1016.299988,1025.099976,1025.099976,19524257
2021-02-08,1036.050049,1055.000000,1028.000000,1035.099976,1035.099976,7162284
2021-02-09,1044.000000,1051.599976,1020.000000,1025.800049,1025.800049,7984133
2021-02-10,1035.000000,1038.449951,1003.599976,1022.799988,1022.799988,7815034
2021-02-11,1025.000000,1036.000000,1015.299988,1021.900024,1021.900024,5760021
2021-02-12,1023.799988,1059.500000,1012.000000,1027.400024,1027.400024,13959383
2021-02-15,1044.900024,1063.000000,1037.699951,1057.599976,1057.599976,9121286
2021-02-16,1068.000000,1096.500000,1041.099976,1058.250000,1058.250000,13883441
2021-02-17,1080.000000,1085.000000,1026.199951,1033.199951,1033.199951,13855321
2021-02-18,1045.000000,1055.400024,1033.400024,1046.050049,1046.050049,8911120
2021-02-19,1035.000000,1074.550049,1027.800049,1065.900024,1065.900024,14557527
2021-02-22,1064.949951,1067.099976,1018.000000,1022.900024,1022.900024,9412265
2021-02-23,1033.150024,1053.949951,1018.000000,1048.300049,1048.300049,7160332
2021-02-24,1047.300049,1076.000000,1041.250000,1070.000000,1070.000000,6833820
2021-02-25,1080.000000,1119.500000,1079.000000,1109.750000,1109.750000,12716781
2021-02-26,1070.000000,1082.900024,1051.250000,1062.949951,1062.949951,12247085
2021-03-01,1075.000000,1096.599976,1063.150024,1067.949951,1067.949951,6358886
2021-03-02,1075.000000,1086.300049,1060.000000,1073.349976,1073.349976,4917345
2021-03-03,1080.000000,1104.000000,1077.150024,1099.750000,1099.750000,5695638
2021-03-04,1078.000000,1116.000000,1072.599976,1091.949951,1091.949951,6128220
2021-03-05,1084.000000,1084.000000,1025.449951,1039.900024,1039.900024,13926140
2021-03-08,1054.000000,1055.449951,1014.500000,1018.250000,1018.250000,10522267
2021-03-09,1025.599976,1035.599976,1005.000000,1024.800049,1024.800049,9915907
2021-03-10,1043.150024,1060.000000,1033.050049,1039.849976,1039.849976,8832614
2021-03-12,1052.000000,1056.400024,1015.650024,1022.650024,1022.650024,5735382
2021-03-15,1027.800049,1043.599976,988.200012,1038.650024,1038.650024,8019663
2021-03-16,1045.000000,1049.900024,1028.000000,1034.699951,1034.699951,5161126
2021-03-17,1032.000000,1039.000000,1002.599976,1008.950012,1008.950012,4712570
2021-03-18,1025.000000,1030.699951,988.000000,1002.799988,1002.799988,5797610
2021-03-19,990.000000,1018.799988,981.099976,1011.900024,1011.900024,6838935
2021-03-22,1006.000000,1011.849976,961.049988,968.150024,968.150024,12692489
2021-03-23,977.000000,994.400024,970.000000,990.049988,990.049988,7530882
2021-03-24,980.049988,985.000000,955.000000,958.700012,958.700012,5028085
2021-03-25,958.700012,970.000000,928.849976,957.799988,957.799988,7614686
2021-03-26,973.799988,976.500000,950.000000,952.750000,952.750000,4891178
2021-03-30,966.000000,978.400024,955.000000,961.049988,961.049988,5831461
2021-03-31,961.049988,969.000000,950.000000,954.450012,954.450012,4453746
2021-04-01,964.000000,997.000000,959.099976,993.299988,993.299988,7932671
2021-04-05,985.000000,988.950012,918.549988,937.349976,937.349976,11223431
2021-04-06,947.799988,954.200012,921.500000,927.250000,927.250000,6925347
2021-04-07,931.000000,952.450012,921.150024,945.549988,945.549988,5714921
2021-04-08,949.000000,957.950012,932.000000,934.900024,934.900024,3946239
2021-04-09,935.000000,939.700012,917.450012,923.650024,923.650024,4980026
2021-04-12,884.000000,890.000000,841.000000,844.400024,844.400024,10674765
2021-04-13,850.000000,881.000000,844.500000,877.400024,877.400024,6778840
2021-04-15,867.500000,883.799988,841.250000,858.349976,858.349976,6862663
2021-04-16,864.099976,869.950012,853.049988,862.950012,862.950012,5338683
2021-04-19,829.950012,836.549988,811.000000,832.000000,832.000000,8550122
2021-04-20,845.000000,864.799988,840.049988,845.000000,845.000000,8240669
2021-04-22,831.000000,839.950012,815.000000,835.700012,835.700012,9717099
2021-04-23,830.000000,859.950012,822.799988,850.000000,850.000000,7695324
2021-04-26,857.000000,870.950012,851.450012,859.549988,859.549988,4894557
2021-04-27,859.549988,886.000000,859.000000,882.450012,882.450012,5202133
2021-04-28,890.000000,931.000000,888.000000,926.900024,926.900024,9935828
2021-04-29,936.849976,958.849976,917.099976,939.450012,939.450012,12187280
2021-04-30,928.000000,948.500000,915.099976,934.950012,934.950012,7301455
2021-05-03,929.000000,967.700012,899.000000,913.599976,913.599976,16854199
2021-05-04,930.000000,934.500000,906.000000,910.150024,910.150024,7499852
2021-05-05,923.000000,934.750000,909.299988,931.150024,931.150024,5975741
2021-05-06,937.450012,938.650024,920.000000,924.950012,924.950012,3705397
2021-05-07,932.549988,951.799988,925.000000,926.200012,926.200012,5419712
2021-05-10,939.000000,949.950012,931.150024,945.400024,945.400024,5087341
2021-05-11,923.950012,957.000000,922.900024,948.849976,948.849976,5732298
2021-05-12,942.000000,950.549988,914.000000,916.650024,916.650024,5074561
2021-05-14,923.000000,923.000000,888.099976,890.849976,890.849976,6169600
2021-05-17,897.099976,959.900024,897.099976,956.450012,956.450012,10987165
2021-05-18,967.000000,986.950012,967.000000,974.549988,974.549988,8715366
2021-05-19,965.000000,978.599976,961.200012,967.000000,967.000000,4787294
2021-05-20,963.000000,987.900024,963.000000,975.500000,975.500000,5835440
2021-05-21,985.000000,1020.000000,981.799988,1016.000000,1016.000000,12591860
2021-05-24,1018.900024,1022.750000,997.049988,1004.750000,1004.750000,5385688
2021-05-25,1012.000000,1012.750000,982.400024,993.900024,993.900024,4583345
2021-05-26,998.849976,1007.950012,987.000000,998.450012,998.450012,2972854
2021-05-27,995.299988,1013.299988,987.000000,1006.849976,1006.849976,4427518
2021-05-28,1014.500000,1025.500000,1003.000000,1019.349976,1019.349976,5388785
2021-05-31,1015.000000,1020.400024,1004.000000,1013.000000,1013.000000,2643491
2021-06-01,1016.000000,1031.349976,1006.000000,1010.049988,1010.049988,3766919
2021-06-02,1008.900024,1030.000000,1003.500000,1028.000000,1028.000000,4177378
2021-06-03,1031.000000,1037.250000,964.049988,1005.750000,1005.750000,14752885
2021-06-04,1012.200012,1023.400024,1004.000000,1009.299988,1009.299988,4323154
2021-06-07,1018.000000,1032.650024,1009.500000,1025.199951,1025.199951,3823401
2021-06-08,1025.000000,1028.000000,1005.599976,1020.150024,1020.150024,3141410
2021-06-09,1019.000000,1035.699951,997.250000,1003.549988,1003.549988,4767864
2021-06-10,1012.000000,1028.599976,1006.000000,1024.349976,1024.349976,2984339
2021-06-11,1028.000000,1032.000000,1012.099976,1015.099976,1015.099976,2679470
2021-06-14,1012.000000,1028.000000,993.750000,1024.300049,1024.300049,3982216
2021-06-15,1025.000000,1050.000000,1025.000000,1034.449951,1034.449951,6026006
2021-06-16,1030.000000,1038.699951,1010.349976,1013.700012,1013.700012,3325800
2021-06-17,1002.000000,1021.799988,968.000000,984.049988,984.049988,6126591
2021-06-18,993.900024,999.799988,960.000000,995.400024,995.400024,4895262
2021-06-21,977.000000,1010.000000,968.049988,1007.549988,1007.549988,3160990
2021-06-22,1015.900024,1021.700012,996.049988,1000.099976,1000.099976,4141759
2021-06-23,1009.000000,1017.799988,996.500000,999.549988,999.549988,3975716
2021-06-24,1004.000000,1008.000000,996.200012,1000.650024,1000.650024,2285845
2021-06-25,997.000000,1020.000000,986.650024,1012.900024,1012.900024,3499315
2021-06-28,1019.000000,1021.599976,1001.000000,1008.900024,1008.900024,2819763
2021-06-29,1009.000000,1022.000000,1000.000000,1018.150024,1018.150024,4543628
2021-06-30,1021.500000,1027.550049,1012.150024,1016.349976,1016.349976,2628556
2021-07-01,1011.000000,1016.950012,1000.000000,1007.700012,1007.700012,3070067
